epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3092,1.57855,3.01394,1.33595,0.0034,0.92308,0.49391,0.19619,1.09702,3.5378,0.97434,0.00062,0.00062,0.00062
2,20.5864,1.55911,1.98339,1.28579,1,0.13269,0.59531,0.30049,1.4388,3.33374,1.19951,0.00123921,0.00123921,0.00123921
3,29.6884,1.52863,1.76061,1.29109,0.14988,0.34615,0.10791,0.04872,1.82854,3.20119,1.4028,0.0018373,0.0018373,0.0018373
4,38.9033,1.59347,1.62706,1.28692,0.24114,0.57692,0.18574,0.11088,1.40027,2.63167,1.25281,0.001901,0.001901,0.001901
5,47.4306,1.60914,1.45246,1.28286,0.89607,0.90385,0.94422,0.54879,1.34682,1.66476,1.16766,0.001868,0.001868,0.001868
6,55.8043,1.51115,1.3191,1.27647,0.87055,0.76923,0.90162,0.57276,1.32168,1.22166,1.12535,0.001835,0.001835,0.001835
7,64.9991,1.53896,1.2043,1.26381,0.88656,0.75152,0.86466,0.53245,1.34049,1.34824,1.13673,0.001802,0.001802,0.001802
8,73.8382,1.48907,1.16414,1.26805,0.93826,0.73077,0.86917,0.51974,1.44553,1.14633,1.20181,0.001769,0.001769,0.001769
9,81.9533,1.47511,1.0781,1.24654,0.85164,0.80769,0.89046,0.5945,1.24136,1.27454,1.07419,0.001736,0.001736,0.001736
10,91.2027,1.43075,0.97627,1.21397,0.84349,0.88462,0.88325,0.57745,1.31634,0.98665,1.1038,0.001703,0.001703,0.001703
11,100.323,1.42723,0.92966,1.19718,0.82342,0.82692,0.86627,0.53891,1.49494,1.11869,1.13616,0.00167,0.00167,0.00167
12,108.568,1.39302,0.92976,1.21396,0.95857,0.88462,0.9753,0.64601,1.16846,0.78102,1.03945,0.001637,0.001637,0.001637
13,118.75,1.42886,0.92078,1.21218,0.94022,0.90751,0.96851,0.63838,1.18981,0.85436,1.04615,0.001604,0.001604,0.001604
14,128.131,1.4499,0.85833,1.19161,0.90687,0.93642,0.95636,0.63492,1.17205,0.70751,1.00986,0.001571,0.001571,0.001571
15,136.161,1.43413,0.84675,1.20166,0.92323,0.86538,0.96341,0.59208,1.37139,0.87241,1.09375,0.001538,0.001538,0.001538
16,145.081,1.41244,0.85506,1.20756,0.97552,0.90385,0.97058,0.65722,1.22686,0.7551,1.04833,0.001505,0.001505,0.001505
17,154.067,1.32672,0.81283,1.152,0.93996,0.90319,0.95549,0.61945,1.22792,0.94176,1.02644,0.001472,0.001472,0.001472
18,162.09,1.31591,0.81148,1.1435,0.85624,0.91637,0.95995,0.62174,1.19304,0.76565,1.0482,0.001439,0.001439,0.001439
19,170.896,1.36006,0.8329,1.16603,0.94668,0.90385,0.97751,0.64737,1.17527,0.8094,1.07989,0.001406,0.001406,0.001406
20,179.552,1.32355,0.78584,1.17471,0.99697,0.94231,0.99083,0.67511,1.18324,0.70082,1.03749,0.001373,0.001373,0.001373
21,187.601,1.31864,0.77452,1.14566,0.97288,0.88462,0.97318,0.69401,1.09536,0.66089,0.99695,0.00134,0.00134,0.00134
22,196.541,1.33381,0.79578,1.17243,0.99427,0.88462,0.9675,0.64476,1.2265,0.73988,1.06161,0.001307,0.001307,0.001307
23,205.635,1.25647,0.75247,1.12135,0.97505,0.90385,0.95926,0.62846,1.20437,0.7245,1.04077,0.001274,0.001274,0.001274
24,213.82,1.28551,0.74105,1.13628,0.91852,0.90385,0.96568,0.69306,1.13249,0.66306,0.9993,0.001241,0.001241,0.001241
