epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.976,0.68015,2.142,1.10566,0.69689,0.71337,0.76545,0.63349,0.54251,1.19941,1.05934,0.000222067,0.000222067,0.000222067
2,463.132,0.68667,1.39653,1.09809,0.62938,0.65987,0.70716,0.57779,0.60079,1.46811,1.13843,0.000433402,0.000433402,0.000433402
3,683.098,0.68696,1.20009,1.10037,0.80365,0.736,0.82471,0.68667,0.54861,1.0405,1.06974,0.000633731,0.000633731,0.000633731
4,903.268,0.66882,1.07342,1.08816,0.82185,0.73689,0.83675,0.70946,0.53781,0.9362,1.07233,0.000617475,0.000617475,0.000617475
5,1123.22,0.64726,0.97715,1.07606,0.84337,0.82055,0.87447,0.73992,0.54805,0.83338,1.06639,0.000600967,0.000600967,0.000600967
6,1345.15,0.62558,0.90802,1.06294,0.86787,0.8334,0.89613,0.76268,0.51695,0.75004,1.04343,0.000584459,0.000584459,0.000584459
7,1564.88,0.60539,0.84695,1.05168,0.87233,0.8144,0.89371,0.75958,0.53911,0.74487,1.03717,0.00056795,0.00056795,0.00056795
8,1788.14,0.59596,0.81643,1.04488,0.8598,0.8399,0.88545,0.76614,0.48479,0.74532,1.00833,0.000551442,0.000551442,0.000551442
9,2007.71,0.58913,0.78255,1.04147,0.84927,0.86039,0.90381,0.78333,0.48116,0.68674,1.00837,0.000534934,0.000534934,0.000534934
10,2229.33,0.574,0.74946,1.03486,0.85732,0.83348,0.88371,0.76684,0.47552,0.71373,1.00146,0.000518426,0.000518426,0.000518426
11,2448.31,0.56506,0.72638,1.02839,0.85839,0.8518,0.89715,0.7887,0.46747,0.68214,1.00094,0.000501917,0.000501917,0.000501917
12,2669.46,0.55233,0.69817,1.02228,0.86019,0.86687,0.91272,0.79342,0.47882,0.61565,1.00044,0.000485409,0.000485409,0.000485409
13,2891.38,0.54657,0.67961,1.01841,0.85127,0.84569,0.9009,0.79199,0.45891,0.653,0.98368,0.000468901,0.000468901,0.000468901
14,3119.65,0.54498,0.65856,1.01198,0.86848,0.84346,0.90794,0.80006,0.45965,0.62986,0.99491,0.000452393,0.000452393,0.000452393
15,3340.76,0.53384,0.64018,1.00969,0.89151,0.84838,0.90785,0.79872,0.4545,0.63646,0.97946,0.000435884,0.000435884,0.000435884
16,3562.4,0.52585,0.62077,1.0043,0.88002,0.86461,0.91519,0.80823,0.44661,0.58108,0.98392,0.000419376,0.000419376,0.000419376
17,3793.65,0.52114,0.60995,1.00561,0.8743,0.84589,0.90075,0.79981,0.43189,0.63834,0.97161,0.000402868,0.000402868,0.000402868
18,4020.35,0.51367,0.59426,0.99882,0.88783,0.87108,0.91172,0.80893,0.43709,0.58797,0.97756,0.00038636,0.00038636,0.00038636
19,4247.5,0.50593,0.57535,0.99937,0.87288,0.86175,0.91054,0.80969,0.42759,0.62143,0.96569,0.000369851,0.000369851,0.000369851
20,4472.35,0.50266,0.56278,0.99248,0.87576,0.87532,0.91726,0.81508,0.42831,0.57617,0.97096,0.000353343,0.000353343,0.000353343
21,4694.9,0.49663,0.55756,0.99076,0.86305,0.87055,0.91023,0.81209,0.42195,0.59967,0.96323,0.000336835,0.000336835,0.000336835
22,4917.38,0.49654,0.54521,0.99382,0.87406,0.855,0.90703,0.81219,0.41636,0.63366,0.95324,0.000320327,0.000320327,0.000320327
23,5140.43,0.48981,0.53278,0.98482,0.90706,0.86121,0.91921,0.82328,0.41217,0.57,0.96364,0.000303818,0.000303818,0.000303818
24,5361.02,0.48415,0.52083,0.98091,0.90484,0.86502,0.92294,0.82827,0.41085,0.54768,0.95734,0.00028731,0.00028731,0.00028731
25,5582.41,0.47994,0.5146,0.97737,0.89282,0.85707,0.91268,0.81971,0.41151,0.57764,0.95607,0.000270802,0.000270802,0.000270802
26,5804.72,0.47517,0.50257,0.97965,0.8636,0.86349,0.90458,0.81226,0.4001,0.61368,0.94451,0.000254294,0.000254294,0.000254294
27,6026.21,0.46781,0.49245,0.97658,0.87842,0.85775,0.91422,0.82073,0.41456,0.5807,0.96179,0.000237785,0.000237785,0.000237785
28,6249.53,0.46877,0.48349,0.9728,0.90099,0.84269,0.91341,0.82339,0.39967,0.57357,0.95249,0.000221277,0.000221277,0.000221277
29,6471.89,0.4619,0.47335,0.96933,0.88945,0.86555,0.91325,0.81944,0.40903,0.59111,0.95695,0.000204769,0.000204769,0.000204769
30,6691.85,0.45414,0.46604,0.96576,0.89444,0.86349,0.91561,0.82708,0.39316,0.55888,0.94204,0.000188261,0.000188261,0.000188261
31,6904.36,0.39964,0.36565,0.90449,0.89325,0.86329,0.90535,0.8163,0.4008,0.59474,0.95472,0.000171752,0.000171752,0.000171752
32,7111.63,0.38719,0.35085,0.89414,0.88088,0.86826,0.91062,0.82121,0.39774,0.57202,0.9524,0.000155244,0.000155244,0.000155244
33,7324.84,0.37894,0.33788,0.88832,0.88157,0.86336,0.90552,0.81906,0.38834,0.57521,0.94017,0.000138736,0.000138736,0.000138736
34,7537.02,0.37308,0.32916,0.88632,0.87935,0.86431,0.91362,0.82425,0.38537,0.57129,0.94318,0.000122228,0.000122228,0.000122228
35,7748.04,0.36791,0.31907,0.88232,0.88679,0.87431,0.91197,0.82578,0.38412,0.56064,0.94139,0.00010572,0.00010572,0.00010572
36,7957.28,0.35796,0.30714,0.87529,0.87914,0.87224,0.91209,0.82746,0.38182,0.56175,0.93806,8.92113e-05,8.92113e-05,8.92113e-05
37,8168.08,0.35378,0.30204,0.87371,0.8876,0.86955,0.91393,0.82716,0.38241,0.56101,0.94077,7.2703e-05,7.2703e-05,7.2703e-05
38,8377.05,0.34956,0.29487,0.87138,0.87246,0.87827,0.91397,0.8289,0.38285,0.55451,0.94118,5.61947e-05,5.61947e-05,5.61947e-05
39,8582.08,0.3437,0.28812,0.86841,0.88998,0.8723,0.91574,0.8303,0.37964,0.55436,0.94019,3.96865e-05,3.96865e-05,3.96865e-05
40,8787.98,0.34206,0.28428,0.86905,0.89167,0.87698,0.91668,0.83472,0.37865,0.54996,0.94013,2.31783e-05,2.31783e-05,2.31783e-05
